input_text,target_text,style,original
convert to social: I'm trying to be more environmentally conscious.,I'm trying to be more environmentally conscious. ♻️ #EcoFriendly #GoGreen,social,I'm trying to be more environmentally conscious.
convert to professional: He accidentally liked a three-year-old post while stalking a profile.,He unintentionally liked a three-year-old post while browsing someone’s profile.,professional,He accidentally liked a three-year-old post while stalking a profile.
convert to polite: The client just emailed requesting we incorporate their new branding guidelines into all existing marketing materials by next week,The client has asked us to incorporate their new branding into all marketing materials by next week.,polite,The client just emailed requesting we incorporate their new branding guidelines into all existing marketing materials by next week
convert to casual: The sunset reflected perfectly on the lake.,The sunset looked unreal reflecting on the lake.,casual,The sunset reflected perfectly on the lake.
convert to casual: The street musician played a tune that stopped everyone in their tracks.,The busker’s song literally made everyone stop and listen.,casual,The street musician played a tune that stopped everyone in their tracks.
convert to polite: The soup was too salty for my taste.,The soup seemed a bit too salty for my liking.,polite,The soup was too salty for my taste.
convert to casual: Can you pick up some extra whiteboard markers and sticky notes? We're completely out and the brainstorming session starts in 30 minutes,Can you grab more whiteboard markers and sticky notes? We're out and the brainstorming starts soon,casual,Can you pick up some extra whiteboard markers and sticky notes? We're completely out and the brainstorming session starts in 30 minutes
convert to polite: He listened to her favorite song long after she was gone.,He softly played her favorite song in remembrance after she was gone.,polite,He listened to her favorite song long after she was gone.
convert to professional: Delete that file immediately,Please delete that file without delay.,professional,Delete that file immediately
"convert to casual: I need to get my computer fixed, it keeps crashing.","Gotta get my computer fixed, it keeps crashing.",casual,"I need to get my computer fixed, it keeps crashing."
convert to polite: I'm thinking of adopting a pet soon.,I have been giving serious thought to adopting a pet soon.,polite,I'm thinking of adopting a pet soon.
convert to professional: They filled notebooks with dreams instead of plans.,They preferred recording their creative visions over structured agendas.,professional,They filled notebooks with dreams instead of plans.
convert to casual: She’s practicing piano every evening.,She plays piano every evening now.,casual,She’s practicing piano every evening.
convert to polite: Cancel my subscription,I would appreciate it if you could cancel my subscription.,polite,Cancel my subscription
convert to casual: The new employee wellness program includes free yoga classes every Tuesday and Thursday during lunch hours,The new wellness program has free yoga on Tuesdays and Thursdays at lunch,casual,The new employee wellness program includes free yoga classes every Tuesday and Thursday during lunch hours
convert to professional: The weather feels perfect today.,The weather conditions today are ideal.,professional,The weather feels perfect today.
convert to casual: Clean the kitchen,Can you clean the kitchen?,casual,Clean the kitchen
convert to professional: We should discuss the new marketing strategy soon.,We ought to convene to discuss the new marketing strategy in the near future.,professional,We should discuss the new marketing strategy soon.
convert to professional: The new company policy is very confusing.,The newly implemented company policy is notably ambiguous and difficult to interpret.,professional,The new company policy is very confusing.
convert to casual: I'm really trying to be more environmentally friendly.,I'm trying to be greener.,casual,I'm really trying to be more environmentally friendly.
convert to polite: The coffee smells amazing this morning.,The coffee has such a delightful aroma this morning.,polite,The coffee smells amazing this morning.
convert to casual: He started journaling and accidentally became self-aware.,He started writing in a journal and ended up overthinking everything.,casual,He started journaling and accidentally became self-aware.
convert to professional: I’m setting up two-factor authentication for all accounts.,I’m implementing two-factor authentication across all user accounts for security.,professional,I’m setting up two-factor authentication for all accounts.
convert to emojify: The sunset from the office window tonight was absolutely breathtaking,The sunset from the office window tonight was absolutely breathtaking 🏙️🌇🌟,emojify,The sunset from the office window tonight was absolutely breathtaking
convert to emojify: I'm so relieved that the presentation is over.,I'm so relieved that the presentation is over. ✅,emojify,I'm so relieved that the presentation is over.
